634786311035990017,2015-08-21 17:57:04,"""Miller is like sed, awk, cut, join, and sort for name-indexed data such as CSV."" http://t.co/lsQZ3jxnOg #data"
634780775246888960,2015-08-21 17:35:05,Machine Learning for Programmers: http://t.co/t6nJPylSvu #machinelearning
634770617590546432,2015-08-21 16:54:43,101 Web Scraping Examples in #python https://t.co/7IQZYOb7kg  #DataMining
634159001928777728,2015-08-20 00:24:22,@TylerJones429 defacr.io for maximum hipster
634158897041793025,2015-08-20 00:23:57,@TylerJones429 I am the worst.
634145578889297920,2015-08-19 23:31:02,@maxmechanic I spoke to this guy a while back that seemed to value empathy https://t.co/trf0RexBRl
634144794906771456,2015-08-19 23:27:55,"@cedesl0v I don't have a ps4 either, but the trailers look good"
634132336427184128,2015-08-19 22:38:25,Graffiti as a service called Defacr
634113985055363072,2015-08-19 21:25:29,@cedesl0v you ready for MGSV?
633652881959161856,2015-08-18 14:53:14,@thirdtruck I walk past a gym on the way to work every day the smell from their pool carries
633652639570333696,2015-08-18 14:52:16,@thirdtruck that sounds like a San Francisco idea ;p
632583390034657282,2015-08-15 16:03:27,"@_BrantM I assure you, I am even more horrified D:"
632252125003714561,2015-08-14 18:07:07,#drought @jiffyclub http://t.co/OKKubGJEjh
632225802826858500,2015-08-14 16:22:32,@thirdtruck @maxmechanic so basically a game about my life.
632225680567078913,2015-08-14 16:22:03,@OkGoDoIt I'll believe you...for now. Hey when are you coming back to SF?
632224972732170240,2015-08-14 16:19:14,"@OkGoDoIt also not sure your recipe quite works, it only searches for any mention of tickets?"
632224719526236160,2015-08-14 16:18:13,@OkGoDoIt https://t.co/HtzuutBwwe here's the slides from my (10min) NLP talk...I remembered! Let's discuss more in detail when you're back.
632223105801420800,2015-08-14 16:11:49,@OkGoDoIt cool thanks.
632192008161902592,2015-08-14 14:08:14,"@OkGoDoIt nope, sold out. :("
631864308490571776,2015-08-13 16:26:05,I tried to do some writing while I was REALLY sleepy and a little drunk last night. The results are kind of hilarious. #narcoauthoring
631596754731839488,2015-08-12 22:42:55,@TylerJones429 do you have a patreon?
630780815903887360,2015-08-10 16:40:40,"""The cave you fear to enter holds the treasure that you seek."" —Joseph Campbell via @momentumdash"
630625080322584576,2015-08-10 06:21:50,@kmjessee I got you covered by proxy :p
630622780266942468,2015-08-10 06:12:41,"Saw on slack today: ""CoreOS rhymes with Oreos"""
630197868058443776,2015-08-09 02:04:14,@kmjessee *sigh* I feel for you
630197651972034560,2015-08-09 02:03:23,@kmjessee seriously
628193761416232960,2015-08-03 13:20:38,@hellokitty491 aww you're cute! And so is your avatar!
627584602970820608,2015-08-01 21:00:03,@stcredzero you planning to be at MADE this weekend?
626798781938282496,2015-07-30 16:57:29,@thirdtruck played through a little of it this morning -- really fascinating!
